# Synthetic Si 2p spectrum (Si0 + Si4+ spin-orbit doublets,
# Poisson counts on a flat background). Generated by
# examples/data/make_example_data.py -- not a measurement.
# BE
# energy_eV	intensity_counts
96.00	283
96.08	236
96.16	285
96.24	283
96.32	300
96.40	305
96.48	298
96.56	309
96.64	280
96.72	301
96.80	300
96.88	307
96.96	310
97.04	282
97.12	309
97.20	311
97.28	350
97.36	325
97.44	332
97.52	328
97.60	325
97.68	318
97.76	377
97.84	398
97.92	376
98.00	399
98.08	405
98.16	441
98.24	443
98.32	504
98.40	561
98.48	653
98.56	749
98.64	937
98.72	1363
98.80	2019
98.88	3397
98.96	5944
99.04	10030
99.12	14824
99.20	19949
99.28	22475
99.36	21618
99.44	18222
99.52	14152
99.60	11151
99.68	10150
99.76	10781
99.84	11924
99.92	12006
100.00	10558
100.08	8175
100.16	5747
100.24	3433
100.32	2121
100.40	1360
100.48	904
100.56	749
100.64	675
100.72	549
100.80	526
100.88	462
100.96	438
101.04	388
101.12	395
101.20	439
101.28	413
101.36	374
101.44	375
101.52	388
101.60	356
101.68	395
101.76	359
101.84	398
101.92	410
102.00	406
102.08	367
102.16	419
102.24	421
102.32	466
102.40	496
102.48	613
102.56	750
102.64	1026
102.72	1397
102.80	2062
102.88	2702
102.96	3608
103.04	4675
103.12	5909
103.20	7327
103.28	8355
103.36	9046
103.44	9024
103.52	9267
103.60	8802
103.68	8331
103.76	7748
103.84	7096
103.92	6376
104.00	5830
104.08	5265
104.16	4646
104.24	3922
104.32	3164
104.40	2370
104.48	1866
104.56	1406
104.64	1093
104.72	813
104.80	647
104.88	534
104.96	434
105.04	401
105.12	365
105.20	365
105.28	314
105.36	348
105.44	319
105.52	342
105.60	329
105.68	292
105.76	302
105.84	290
105.92	291
106.00	285
106.08	264
106.16	294
106.24	308
106.32	284
106.40	281
106.48	259
106.56	289
106.64	279
106.72	285
106.80	256
106.88	275
106.96	296
107.04	279
107.12	252
107.20	262
107.28	302
107.36	267
107.44	248
107.52	281
107.60	251
107.68	275
107.76	269
107.84	251
107.92	292
108.00	267
